seed,probe_fraction,memory_id,encoding_position,isyn_score,w_slow,w_fast,assembly_w_fast,gamma0_retention,elapsed_seconds
2042.0,0.25,1.0,1.0,0.0538007266586646,0.0548791661858558,0.0238839834928512,0.0284711811691522,,792.5507047176361
2042.0,0.25,2.0,2.0,0.044147839420475,0.0517115443944931,0.0472571663558483,0.0608796849846839,,792.5507047176361
2042.0,0.25,3.0,3.0,0.0417210418381728,0.0288466345518827,0.0968717709183693,0.0926977768540382,,792.5507047176361
2042.0,0.5,0.0,0.0,0.1045512217096984,0.1209406703710556,0.0364993959665298,0.0254091508686542,,799.1545584201813
2042.0,0.5,1.0,1.0,0.0796935796970501,0.0860176905989646,0.0225091464817523,0.0228773765265941,,799.1545584201813
2042.0,0.5,2.0,2.0,0.0601328714983537,0.06928501278162,0.0471806675195694,0.0454618595540523,,799.1545584201813
2042.0,0.5,3.0,3.0,0.0393921994254924,0.028642788529396,0.0968884974718093,0.0840693116188049,,799.1545584201813
2042.0,0.75,0.0,0.0,0.1171720803831704,0.1381403505802154,0.0453132912516593,0.0378159768879413,,1076.8800916671753
2042.0,0.75,1.0,1.0,0.0945133515924681,0.1061351299285888,0.0234451182186603,0.0251875128597021,,1076.8800916671753
2042.0,0.75,2.0,2.0,0.0738645518722478,0.084165371954441,0.0441700965166091,0.0525005422532558,,1076.8800916671753
2042.0,0.75,3.0,3.0,0.0450139583845157,0.0285828206688165,0.0972940474748611,0.1090752482414245,,1076.8800916671753
2042.0,1.0,0.0,0.0,0.1509089479222893,0.1787262111902237,0.0390514843165874,0.0282770618796348,,1988.035156965256
2042.0,1.0,1.0,1.0,0.1070343635510653,0.1214073449373245,0.0241460483521223,0.023630641400814,,1988.035156965256
2042.0,1.0,2.0,2.0,0.1008741962723434,0.1168271005153656,0.0476206429302692,0.0480143353343009,,1988.035156965256
2042.0,1.0,3.0,3.0,0.0415517945657484,0.0289649367332458,0.0976775214076042,0.0918575599789619,,1988.035156965256
3042.0,0.0,0.0,0.0,0.0271666528569767,0.0275385919958353,0.0680420994758606,0.1281595826148986,0.0070380382239818,1642.738110780716
3042.0,0.0,1.0,1.0,0.0207621028966968,0.0255384426563978,0.0136983897536993,0.0165091156959533,0.0018538879230618,1642.738110780716
3042.0,0.0,2.0,2.0,0.0247911806873162,0.0283779893070459,0.0425090305507183,0.0276164747774601,0.0079589374363422,1642.738110780716
3042.0,0.0,3.0,3.0,0.0463246806216375,0.0300096347928047,0.0996648892760276,0.1098592877388,0.0497395060956478,1642.738110780716
3042.0,0.1,0.0,0.0,0.0451927128015086,0.0504713393747806,0.034663800150156,0.0336236059665679,,1582.85804438591
3042.0,0.1,1.0,1.0,0.0274686785996891,0.032265018671751,0.0152211207896471,0.0129773812368512,,1582.85804438591
3042.0,0.1,2.0,2.0,0.0328584206872619,0.0344793125987052,0.0438518747687339,0.0549905113875865,,1582.85804438591
3042.0,0.1,3.0,3.0,0.0457517734321299,0.0279606748372316,0.0930290222167968,0.1071789339184761,,1582.85804438591
3042.0,0.25,0.0,0.0,0.061009032302536,0.0706732049584388,0.0447773560881614,0.1044239550828933,,1028.809364080429
3042.0,0.25,1.0,1.0,0.0434690735128242,0.053711861371994,0.0115004247054457,0.0079162381589412,,1028.809364080429
3042.0,0.25,2.0,2.0,0.0243249401682987,0.0266250018030405,0.0468492023646831,0.0574156120419502,,1028.809364080429
3042.0,0.25,3.0,3.0,0.0393441863379848,0.0272127334028482,0.0868177786469459,0.0900172442197799,,1028.809364080429
3042.0,0.5,0.0,0.0,0.0949772006133571,0.1123093962669372,0.0373602770268917,0.0483006499707698,,1012.9735062122344
3042.0,0.5,1.0,1.0,0.0691549286711961,0.0867377594113349,0.0192385353147983,0.0196457952260971,,1012.9735062122344
3042.0,0.5,2.0,2.0,0.0343858894193545,0.0428975038230419,0.0449608266353607,0.044062104076147,,1012.9735062122344
3042.0,0.5,3.0,3.0,0.0398943597538163,0.0273917708545923,0.0908702835440635,0.0914404988288879,,1012.9735062122344
3042.0,0.75,0.0,0.0,0.1143496147124096,0.1384335309267044,0.0340884700417518,0.0432706288993358,,889.3207499980927
3042.0,0.75,1.0,1.0,0.087851868069265,0.1061848402023315,0.0150772966444492,0.0107361283153295,,889.3207499980927
3042.0,0.75,2.0,2.0,0.0597529740771278,0.0685326009988784,0.0454731211066246,0.0497446991503238,,889.3207499980927
