seed,condition,memory_id,replay_count,retention,w_slow
24042,SUPPRESS_MEM0,0,0,0.22859129193238914,0.029501132667064667
24042,SUPPRESS_MEM0,1,14,0.2578753789421171,0.07739544659852982
24042,SUPPRESS_MEM0,2,19,0.2757190952543169,0.09982600808143616
24042,SUPPRESS_MEM0,3,12,0.22564040147699416,0.015084725804626942
25042,SUPPRESS_MEM0,0,0,0.22325559286400676,0.02939768321812153
25042,SUPPRESS_MEM0,1,15,0.24578141723759472,0.0629723072052002
25042,SUPPRESS_MEM0,2,14,0.250497292727232,0.0688236802816391
25042,SUPPRESS_MEM0,3,16,0.23083847109228373,0.018896616995334625
26042,SUPPRESS_MEM0,0,0,0.22316791559569538,0.0279572494328022
26042,SUPPRESS_MEM0,1,15,0.255515351658687,0.07318520545959473
26042,SUPPRESS_MEM0,2,13,0.24401391739957035,0.0578494556248188
26042,SUPPRESS_MEM0,3,17,0.22272374667227268,0.018301906064152718
27042,SUPPRESS_MEM0,0,0,0.2158597174566239,0.026971902698278427
27042,SUPPRESS_MEM0,1,11,0.23992512747645378,0.06801201403141022
27042,SUPPRESS_MEM0,2,21,0.24879620783030987,0.07915830612182617
27042,SUPPRESS_MEM0,3,13,0.22596463188529015,0.019147716462612152
28042,SUPPRESS_MEM0,0,0,0.21546094585210085,0.03104235604405403
28042,SUPPRESS_MEM0,1,13,0.24443272058852017,0.07593031227588654
28042,SUPPRESS_MEM0,2,15,0.24328911607153714,0.06832559406757355
28042,SUPPRESS_MEM0,3,18,0.22194376634433866,0.018622560426592827
29042,SUPPRESS_MEM0,0,2,0.21822083787992597,0.027803659439086914
29042,SUPPRESS_MEM0,1,13,0.24002320086583495,0.062380582094192505
29042,SUPPRESS_MEM0,2,15,0.2442903066985309,0.06708749383687973
29042,SUPPRESS_MEM0,3,15,0.22072682133875787,0.018095828592777252
